name,address,hierarchy,lat_coordinates,long_coordinates
The Edinburgh Castle,"17 Blossom St, Ancoats, Manchester M4 5EP",3,53.48415,-2.229839
Sicilian NQ Bar and Bistro,"14 Turner St, Manchester M4 1DZ",3,53.48358,-2.23747
20 Stories,"1 Hardman St, Manchester M3 3EB",3,53.50658,-2.16762
The Ivy,"The Pavilion, Byrom St, Manchester M3 3HG",3,53.479012,-2.25047
Delhi House Cafe,"Unit 10 Exchange Sq, Manchester M4 3TR",3,53.48465,-2.243
Sexy Fish,"1 The Avenue, Deansgate, Manchester M3 3AP",3,53.448231,-2.38626
Elnecot,"Cutting Room Square, 41 Blossom St, Ancoats, Manchester, M4 6AJ",3,53.48436,-2.22947
Wholesome Junkies,"Unit 4 Mirabel St, Manchester M3 1PJ",3,53.4877,-2.24619
MUSU,"64 Bridge St, Manchester M3 3BN",3,53.481251,-2.25048
Erst,"9 Murray St, Ancoats, Manchester M4 6HS",3,53.48427,-2.22746
Where The Light Gets In,"7 Rostron Brow, Stockport SK1 1JY",3,53.41087,-2.1559
Brewski,"537-539 Wilbraham Rd, Chorlton-cum-Hardy, Manchester M21 0UE",3,53.44245,-2.27405
Hispi,"1C School Ln, Didsbury, Manchester M20 6RD",3,53.41743,-2.22902
Dokes Pizzeria,"449A Bury New Rd, Prestwich, Manchester M25 1AF",3,53.53233,-2.28485
Salvi's NQ,"60-67A High St, Manchester M4 1FS",3,53.48421,-2.23815
Mi & Pho,"384 Palatine Rd, Northenden, Wythenshawe, Manchester M22 4FZ",3,53.40769,-2.25827
Common,"39-41 Edge St, Manchester M4 1HW",3,53.484161,-2.23599
Vertigo Plant-Based Eatery,"18 Cross St, Manchester M2 7AE",3,53.48227,-2.24426
Casa Italia,"688-690 Wilmslow Rd, Didsbury, M20 2DN",3,53.41843,-2.23181
Zouk,"5, The Quadrangle, Chester St, Manchester M1 5QS",3,53.4716,-2.24233
The Hip Hop Chip Shop,"44 Blossom St, Ancoats, Manchester M4 6BF",3,53.48436,-2.22947
63 Degrees,"104 High St, Manchester M4 1HQ",3,53.484692,-2.23671
The Little Yeti,"495 Barlow Moor Rd, Chorlton-cum-Hardy, Manchester M21 8AG",3,53.43246,-2.27027
Depot Mayfield,"11 Baring St, Manchester M1 2PY",4,53.47511,-2.22782
Gorilla,"54-56 Whitworth St, Manchester M1 5WW",4,53.474018,-2.24657
Deaf Institute,"135 Grosvenor St, Manchester M1 7HE",4,53.47015,-2.23712
Eagle Inn,"19 Collier St, Salford M3 7DW",4,53.48746,-2.25121
Manchester Academy,"Manchester University Students Union, Oxford Rd, Manchester M13 9PR",4,53.464081,-2.23148
Hidden,"16-18 Mary St, Cheetham Hill, Manchester M3 1NH",4,53.490082,-2.24911
Albert Hall,"City Centre, 27 Peter St, Manchester M2 5QR",4,53.478142,-2.24795
Band On The Wall,"25 Swan St, Manchester M4 5JZ",4,53.48522,-2.23391
The Loft MCR,"Unit One New St, Manchester M40 8AW",4,53.49507,-2.20788
Big Hands,"296 Oxford Rd, Manchester M13 9NS",4,53.462959,-2.23008
Cafe Blah,"418 Wilmslow Rd, Withington, Manchester M20 3BW",4,53.43516,-2.22743
Soup,"31-33 Spear St, Manchester M1 1DF",4,53.483398,-2.23358
O2 Ritz,"Whitworth St W, Manchester M1 5NQ",4,53.474018,-2.24657
O2 Apollo,"Stockport Rd, Manchester M12 6AP",4,53.456871,-2.20036
YES,"38 Charles St, Manchester M1 7DB",4,53.473949,-2.23827
Gullivers,"109 Oldham St, Manchester M4 1LW",4,53.483871,-2.23393
Mint Lounge,"46-50 Oldham St, Manchester M4 1LE",4,53.483139,-2.23484
Jashua Brooks,"106 Princess St, Manchester M1 6NG",4,53.47437,-2.23746
New Century Hall,"34 Hanover St, Manchester M4 4AH",4,53.48626,-2.23922
Matt and Phreds,"64 Tib St, Manchester M4 1LW",4,53.48362,-2.23488
Frog and Bucket,"102 Oldham St, Manchester M4 1LJ",4,53.48325,-2.23402
Firehouse,"40 Swan St, Manchester M4 5JG",4,53.48572,-2.2347
Ramona,"40 Swan St, Manchester M4 5JG",4,53.48572,-2.2347
The White Hotel,"Dickinson St, Salford M3 7LW",4,53.491909,-2.25183
