names,edges,distance,weighting
"('The Beagle', 'Factory International')","(3, 31)",0.18337316785210356,0.85
"('The Beagle', 'Pottery Corner')","(3, 32)",0.0368589282114781,0.85
"('The Beagle', 'Seven Limes Pottery')","(3, 33)",0.1175742217870821,1.0
"('The Beagle', 'Clay Studio')","(3, 34)",0.13796181645405592,1.0
"('The Beagle', 'Boom Battle Bar')","(3, 35)",0.21810118927635558,1.0
"('The Beagle', 'Virtual Hideout')","(3, 36)",0.21510640135917297,1.0
"('The Beagle', 'DNA VR')","(3, 37)",0.20508538025167736,1.0
"('The Beagle', 'Sken Studios')","(3, 38)",0.1249172113917125,1.0
"('The Beagle', 'Cork and Canvas')","(3, 39)",0.2338238258415642,1.0
"('The Beagle', 'Ma Lumiere')","(3, 40)",0.27177700348432055,1.0
"('The Beagle', 'Northern Flower')","(3, 41)",0.21908025455697297,1.0
"('The Beagle', 'Junkyard Golf Club')","(3, 44)",0.17482074466553402,1.0
"('The Beagle', 'Goodtime Games')","(3, 62)",0.06896651020819536,1.0
"('Evelyn’s', 'Manchester Art Gallery')","(4, 21)",0.01779595127710427,0.85
"('Evelyn’s', 'HOME')","(4, 22)",0.04307887234716503,0.7224999999999999
"('Evelyn’s', 'Rogue Artists’ Studios')","(4, 23)",0.1674489590232384,0.85
"('Evelyn’s', 'Salford Museum and Art Gallery')","(4, 24)",0.14504564171969936,0.85
"('Evelyn’s', 'The Lowry')","(4, 25)",0.13159789213004291,0.85
"('Evelyn’s', 'The Whitworth')","(4, 26)",0.07610792754916923,0.85
"('Evelyn’s', 'Islington Mill')","(4, 27)",0.06628847870533015,0.85
"('Evelyn’s', 'Holden Gallery')","(4, 28)",0.055173208166556284,0.85
"('Evelyn’s', 'Castlefield Gallery')","(4, 29)",0.04918363233219109,0.85
"('Evelyn’s', 'Gallery Oldham')","(4, 30)",0.3746076539868114,0.85
"('Evelyn’s', 'Factory International')","(4, 31)",0.05626745759783454,0.7224999999999999
"('Evelyn’s', 'Pottery Corner')","(4, 32)",0.20678434647392518,0.7224999999999999
"('Evelyn’s', 'Seven Limes Pottery')","(4, 33)",0.09937512598266479,0.85
"('Evelyn’s', 'Clay Studio')","(4, 34)",0.07895873527802574,0.85
"('Evelyn’s', 'Boom Battle Bar')","(4, 35)",0.013447749589656463,0.85
"('Evelyn’s', 'Virtual Hideout')","(4, 36)",0.004290609612117372,0.85
"('Evelyn’s', 'DNA VR')","(4, 37)",0.016932070147147753,0.85
"('Evelyn’s', 'Sken Studios')","(4, 38)",0.30710974169954214,0.85
"('Evelyn’s', 'Cork and Canvas')","(4, 39)",0.024822184467417283,0.85
"('Evelyn’s', 'Ma Lumiere')","(4, 40)",0.0632073026751519,0.85
"('Evelyn’s', 'Northern Flower')","(4, 41)",0.0023324790508825986,0.85
"('Evelyn’s', 'Junkyard Golf Club')","(4, 44)",0.04307887234716503,0.85
"('Evelyn’s', 'Goodtime Games')","(4, 62)",0.22489705416534686,0.85
"('Banyan - Spinningfields', 'Manchester Art Gallery')","(5, 21)",0.2660465919889423,1.0
"('Banyan - Spinningfields', 'HOME')","(5, 22)",0.27042358971405533,0.85
"('Banyan - Spinningfields', 'Rogue Artists’ Studios')","(5, 23)",0.09551645693552567,1.0
"('Banyan - Spinningfields', 'Salford Museum and Art Gallery')","(5, 24)",0.3952832090304374,1.0
"('Banyan - Spinningfields', 'The Lowry')","(5, 25)",0.36663115155354625,1.0
"('Banyan - Spinningfields', 'The Whitworth')","(5, 26)",0.22990756471909465,1.0
"('Banyan - Spinningfields', 'Islington Mill')","(5, 27)",0.320471103176203,1.0
"('Banyan - Spinningfields', 'Holden Gallery')","(5, 28)",0.25245486221095975,1.0
"('Banyan - Spinningfields', 'Castlefield Gallery')","(5, 29)",0.2798398940305814,1.0
"('Banyan - Spinningfields', 'Gallery Oldham')","(5, 30)",0.3379215020013246,1.0
"('Banyan - Spinningfields', 'Factory International')","(5, 31)",0.30290552020042044,0.85
"('Banyan - Spinningfields', 'Pottery Corner')","(5, 32)",0.3544504276211593,0.85
"('Banyan - Spinningfields', 'Seven Limes Pottery')","(5, 33)",0.27756500705502923,1.0
"('Banyan - Spinningfields', 'Clay Studio')","(5, 34)",0.2701932214127336,1.0
"('Banyan - Spinningfields', 'Boom Battle Bar')","(5, 35)",0.2735047657442336,1.0
"('Banyan - Spinningfields', 'Virtual Hideout')","(5, 36)",0.263886889164051,1.0
"('Banyan - Spinningfields', 'DNA VR')","(5, 37)",0.27177700348432055,1.0
"('Banyan - Spinningfields', 'Sken Studios')","(5, 38)",0.45921041264721973,1.0
"('Banyan - Spinningfields', 'Cork and Canvas')","(5, 39)",0.24214588072681198,1.0
"('Banyan - Spinningfields', 'Ma Lumiere')","(5, 40)",0.2324992081089642,1.0
"('Banyan - Spinningfields', 'Northern Flower')","(5, 41)",0.2591643389869554,1.0
"('Banyan - Spinningfields', 'Junkyard Golf Club')","(5, 44)",0.27042358971405533,1.0
"('Banyan - Spinningfields', 'Goodtime Games')","(5, 62)",0.2820571889308031,1.0
"('Victors', 'Manchester Art Gallery')","(6, 21)",0.7126731361764621,1.0
"('Victors', 'HOME')","(6, 22)",0.6901546347222622,0.85
"('Victors', 'Rogue Artists’ Studios')","(6, 23)",0.6953955135773318,1.0
"('Victors', 'Salford Museum and Art Gallery')","(6, 24)",0.7331471189564316,1.0
"('Victors', 'The Lowry')","(6, 25)",0.6915944366055231,1.0
"('Victors', 'The Whitworth')","(6, 26)",0.6505888789702537,1.0
"('Victors', 'Islington Mill')","(6, 27)",0.7247962680335186,1.0
